Column_Data_00
    step        time[-]          F_x           F_y           F_z
     375   1.171875e+00  -2.1401e-03    0.0000e+00    4.2994e-04
     376   1.175000e+00  -2.1353e-03    0.0000e+00    4.3200e-04
     377   1.178125e+00  -2.1305e-03    0.0000e+00    4.3405e-04
     378   1.181250e+00  -2.1258e-03    0.0000e+00    4.3609e-04
     379   1.184375e+00  -2.1211e-03    0.0000e+00    4.3813e-04
     380   1.187500e+00  -2.1164e-03    0.0000e+00    4.4016e-04
     381   1.190625e+00  -2.1117e-03    0.0000e+00    4.4218e-04
     382   1.193750e+00  -2.1071e-03    0.0000e+00    4.4420e-04
     383   1.196875e+00  -2.1024e-03    0.0000e+00    4.4620e-04
     384   1.200000e+00  -2.0979e-03    0.0000e+00    4.4820e-04
